owner,control,type,tab,section,responsive,control_tier,owner_tier,default,options,condition,css,label
section,blocksy_stretch_section,switcher,layout,section_layout,,free,free,,,,,Full Width Section
section,_title,hidden,layout,section_layout,,free,free,,,,,Title
section,layout,select,layout,section_layout,,free,free,boxed,"[""boxed"",""full_width""]",,,Content Width
section,content_width,slider,layout,section_layout,mobile|tablet,free,free,"{""unit"":""px"",""size"":"""",""sizes"":[]}",,"{""layout"":[""boxed""]}",max-width,Width
section,gap,select,layout,section_layout,,free,free,default,"[""default"",""no"",""narrow"",""extended"",""wide"",""wider"",""custom""]",,,Columns Gap
section,gap_columns_custom,slider,layout,section_layout,mobile|tablet,free,free,"{""unit"":""px"",""size"":"""",""sizes"":[]}",,"{""gap"":""custom""}",padding,Custom Columns Gap
section,height,select,layout,section_layout,,free,free,default,"[""default"",""full"",""min-height""]",,,Height
section,custom_height,slider,layout,section_layout,mobile|tablet,free,free,"{""unit"":""px"",""size"":400,""sizes"":[]}",,"{""height"":[""min-height""]}",min-height,Minimum Height
section,height_inner,select,layout,section_layout,,free,free,default,"[""default"",""full"",""min-height""]",,,Height
section,custom_height_inner,slider,layout,section_layout,mobile|tablet,free,free,"{""unit"":""px"",""size"":400,""sizes"":[]}",,"{""height_inner"":[""min-height""]}",min-height,Minimum Height
section,column_position,select,layout,section_layout,,free,free,middle,"[""stretch"",""top"",""middle"",""bottom""]","{""height"":[""full"",""min-height""]}",,Column Position
section,content_position,select,layout,section_layout,,free,free,,"["""",""top"",""middle"",""bottom"",""space-between"",""space-around"",""space-evenly""]",,align-content|align-items,Vertical Align
section,overflow,select,layout,section_layout,,free,free,,"["""",""hidden""]",,overflow,Overflow
section,html_tag,select,layout,section_layout,,free,free,,"["""",""div"",""header"",""footer"",""main"",""article"",""section"",""aside"",""nav""]",,,HTML Tag
section,structure,structure,layout,section_structure,,free,free,10,,,,Structure
section,background_background,choose,style,section_background,,free,free,,"[""classic"",""gradient"",""video"",""slideshow""]",,,Background Type
section,background_color,color,style,section_background,,free,free,,,"{""background_background"":[""classic"",""gradient"",""video""]}",background-color,Color
section,background_color_stop,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":0,""sizes"":[]}",,"{""background_background"":[""gradient""]}",,Location
section,background_color_b,color,style,section_background,,free,free,#f2295b,,"{""background_background"":[""gradient""]}",,Second Color
section,background_color_b_stop,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_background"":[""gradient""]}",,Location
section,background_gradient_type,select,style,section_background,,free,free,linear,"[""linear"",""radial""]","{""background_background"":[""gradient""]}",,Type
section,background_gradient_angle,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""deg"",""size"":180,""sizes"":[]}",,"{""background_background"":[""gradient""],""background_gradient_type"":""linear""}",background-color|background-image,Angle
section,background_gradient_position,select,style,section_background,mobile|tablet,free,free,center center,"[""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_background"":[""gradient""],""background_gradient_type"":""radial""}",background-color|background-image,Position
section,background_image,media,style,section_background,mobile|tablet,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_background"":[""classic""]}",background-image,Image
section,background_position,select,style,section_background,mobile|tablet,free,free,,"["""",""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right"",""initial""]","{""background_background"":[""classic""],""background_image[url]!"":""""}",background-position,Position
section,background_xpos,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""background_background"":[""classic""],""background_position"":[""initial""],""background_image[url]!"":""""}",background-position,X Position
section,background_ypos,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""background_background"":[""classic""],""background_position"":[""initial""],""background_image[url]!"":""""}",background-position,Y Position
section,background_attachment,select,style,section_background,,free,free,,"["""",""scroll"",""fixed""]","{""background_background"":[""classic""],""background_image[url]!"":""""}",background-attachment,Attachment
section,background_repeat,select,style,section_background,mobile|tablet,free,free,,"["""",""no-repeat"",""repeat"",""repeat-x"",""repeat-y""]","{""background_background"":[""classic""],""background_image[url]!"":""""}",background-repeat,Repeat
section,background_size,select,style,section_background,mobile|tablet,free,free,,"["""",""auto"",""cover"",""contain"",""initial""]","{""background_background"":[""classic""],""background_image[url]!"":""""}",background-size,Display Size
section,background_bg_width,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_background"":[""classic""],""background_size"":[""initial""],""background_image[url]!"":""""}",background-size,Width
section,background_video_link,text,style,section_background,,free,free,,,"{""background_background"":[""video""]}",,Video Link
section,background_video_start,number,style,section_background,,free,free,,,"{""background_background"":[""video""]}",,Start Time
section,background_video_end,number,style,section_background,,free,free,,,"{""background_background"":[""video""]}",,End Time
section,background_play_once,switcher,style,section_background,,free,free,,,"{""background_background"":[""video""]}",,Play Once
section,background_play_on_mobile,switcher,style,section_background,,free,free,,,"{""background_background"":[""video""]}",,Play On Mobile
section,background_privacy_mode,switcher,style,section_background,,free,free,,,"{""background_background"":[""video""]}",,Privacy Mode
section,background_video_fallback,media,style,section_background,,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_background"":[""video""]}",background|background-size,Background Fallback
section,background_slideshow_gallery,gallery,style,section_background,,free,free,,,"{""background_background"":[""slideshow""]}",,Images
section,background_slideshow_loop,switcher,style,section_background,,free,free,yes,,"{""background_background"":[""slideshow""]}",,Infinite Loop
section,background_slideshow_slide_duration,number,style,section_background,,free,free,5000,,"{""background_background"":[""slideshow""]}",,Duration (ms)
section,background_slideshow_slide_transition,select,style,section_background,,free,free,fade,"[""fade"",""slide_right"",""slide_left"",""slide_up"",""slide_down""]","{""background_background"":[""slideshow""]}",,Transition
section,background_slideshow_transition_duration,number,style,section_background,,free,free,500,,"{""background_background"":[""slideshow""]}",,Transition Duration (ms)
section,background_slideshow_background_size,select,style,section_background,mobile|tablet,free,free,,"["""",""auto"",""cover"",""contain""]","{""background_background"":[""slideshow""]}",background-size,Background Size
section,background_slideshow_background_position,select,style,section_background,mobile|tablet,free,free,,"["""",""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_background"":[""slideshow""]}",background-position,Background Position
section,background_slideshow_lazyload,switcher,style,section_background,,free,free,,,"{""background_background"":[""slideshow""]}",,Lazyload
section,background_slideshow_ken_burns,switcher,style,section_background,,free,free,,,"{""background_background"":[""slideshow""]}",,Ken Burns Effect
section,background_slideshow_ken_burns_zoom_direction,select,style,section_background,,free,free,in,"[""in"",""out""]","{""background_background"":[""slideshow""],""background_slideshow_ken_burns!"":""""}",,Direction
section,handle_slideshow_asset_loading,hidden,style,section_background,,free,free,,,,,
section,background_hover_background,choose,style,section_background,,free,free,,"[""classic"",""gradient""]",,,Background Type
section,background_hover_color,color,style,section_background,,free,free,,,"{""background_hover_background"":[""classic"",""gradient"",""video""]}",background-color,Color
section,background_hover_color_stop,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":0,""sizes"":[]}",,"{""background_hover_background"":[""gradient""]}",,Location
section,background_hover_color_b,color,style,section_background,,free,free,#f2295b,,"{""background_hover_background"":[""gradient""]}",,Second Color
section,background_hover_color_b_stop,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_hover_background"":[""gradient""]}",,Location
section,background_hover_gradient_type,select,style,section_background,,free,free,linear,"[""linear"",""radial""]","{""background_hover_background"":[""gradient""]}",,Type
section,background_hover_gradient_angle,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""deg"",""size"":180,""sizes"":[]}",,"{""background_hover_background"":[""gradient""],""background_hover_gradient_type"":""linear""}",background-color|background-image,Angle
section,background_hover_gradient_position,select,style,section_background,mobile|tablet,free,free,center center,"[""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_hover_background"":[""gradient""],""background_hover_gradient_type"":""radial""}",background-color|background-image,Position
section,background_hover_image,media,style,section_background,mobile|tablet,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_hover_background"":[""classic""]}",background-image,Image
section,background_hover_position,select,style,section_background,mobile|tablet,free,free,,"["""",""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right"",""initial""]","{""background_hover_background"":[""classic""],""background_hover_image[url]!"":""""}",background-position,Position
section,background_hover_xpos,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""background_hover_background"":[""classic""],""background_hover_position"":[""initial""],""background_hover_image[url]!"":""""}",background-position,X Position
section,background_hover_ypos,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""background_hover_background"":[""classic""],""background_hover_position"":[""initial""],""background_hover_image[url]!"":""""}",background-position,Y Position
section,background_hover_attachment,select,style,section_background,,free,free,,"["""",""scroll"",""fixed""]","{""background_hover_background"":[""classic""],""background_hover_image[url]!"":""""}",background-attachment,Attachment
section,background_hover_repeat,select,style,section_background,mobile|tablet,free,free,,"["""",""no-repeat"",""repeat"",""repeat-x"",""repeat-y""]","{""background_hover_background"":[""classic""],""background_hover_image[url]!"":""""}",background-repeat,Repeat
section,background_hover_size,select,style,section_background,mobile|tablet,free,free,,"["""",""auto"",""cover"",""contain"",""initial""]","{""background_hover_background"":[""classic""],""background_hover_image[url]!"":""""}",background-size,Display Size
section,background_hover_bg_width,slider,style,section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_hover_background"":[""classic""],""background_hover_size"":[""initial""],""background_hover_image[url]!"":""""}",background-size,Width
section,background_hover_video_link,text,style,section_background,,free,free,,,"{""background_hover_background"":[""video""]}",,Video Link
section,background_hover_video_start,number,style,section_background,,free,free,,,"{""background_hover_background"":[""video""]}",,Start Time
section,background_hover_video_end,number,style,section_background,,free,free,,,"{""background_hover_background"":[""video""]}",,End Time
section,background_hover_play_once,switcher,style,section_background,,free,free,,,"{""background_hover_background"":[""video""]}",,Play Once
section,background_hover_play_on_mobile,switcher,style,section_background,,free,free,,,"{""background_hover_background"":[""video""]}",,Play On Mobile
section,background_hover_privacy_mode,switcher,style,section_background,,free,free,,,"{""background_hover_background"":[""video""]}",,Privacy Mode
section,background_hover_video_fallback,media,style,section_background,,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_hover_background"":[""video""]}",background|background-size,Background Fallback
section,background_hover_slideshow_gallery,gallery,style,section_background,,free,free,,,"{""background_hover_background"":[""slideshow""]}",,Images
section,background_hover_slideshow_loop,switcher,style,section_background,,free,free,yes,,"{""background_hover_background"":[""slideshow""]}",,Infinite Loop
section,background_hover_slideshow_slide_duration,number,style,section_background,,free,free,5000,,"{""background_hover_background"":[""slideshow""]}",,Duration (ms)
section,background_hover_slideshow_slide_transition,select,style,section_background,,free,free,fade,"[""fade"",""slide_right"",""slide_left"",""slide_up"",""slide_down""]","{""background_hover_background"":[""slideshow""]}",,Transition
section,background_hover_slideshow_transition_duration,number,style,section_background,,free,free,500,,"{""background_hover_background"":[""slideshow""]}",,Transition Duration (ms)
section,background_hover_slideshow_background_size,select,style,section_background,mobile|tablet,free,free,,"["""",""auto"",""cover"",""contain""]","{""background_hover_background"":[""slideshow""]}",background-size,Background Size
section,background_hover_slideshow_background_position,select,style,section_background,mobile|tablet,free,free,,"["""",""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_hover_background"":[""slideshow""]}",background-position,Background Position
section,background_hover_slideshow_lazyload,switcher,style,section_background,,free,free,,,"{""background_hover_background"":[""slideshow""]}",,Lazyload
section,background_hover_slideshow_ken_burns,switcher,style,section_background,,free,free,,,"{""background_hover_background"":[""slideshow""]}",,Ken Burns Effect
section,background_hover_slideshow_ken_burns_zoom_direction,select,style,section_background,,free,free,in,"[""in"",""out""]","{""background_hover_background"":[""slideshow""],""background_hover_slideshow_ken_burns!"":""""}",,Direction
section,background_hover_transition,slider,style,section_background,,free,free,"{""unit"":""px"",""size"":0.3,""sizes"":[]}",,,,Transition Duration (s)
section,background_motion_fx_motion_fx_scrolling,switcher,style,section_background,,pro,free,,,,,Scrolling Effects
section,background_motion_fx_translateY_effect,popover_toggle,style,section_background,,pro,free,,,"{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Vertical Scroll
section,background_motion_fx_translateY_direction,select,style,section_background,,pro,free,,"["""",""negative""]","{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_translateY_effect"":""yes""}",,Direction
section,background_motion_fx_translateY_speed,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":4,""sizes"":[]}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_translateY_effect"":""yes""}",,Speed
section,background_motion_fx_translateY_affectedRange,slider,style,section_background,,pro,free,"{""unit"":""%"",""size"":"""",""sizes"":{""start"":0,""end"":100}}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_translateY_effect"":""yes""}",,Viewport
section,background_motion_fx_translateX_effect,popover_toggle,style,section_background,,pro,free,,,"{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Horizontal Scroll
section,background_motion_fx_translateX_direction,select,style,section_background,,pro,free,,"["""",""negative""]","{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_translateX_effect"":""yes""}",,Direction
section,background_motion_fx_translateX_speed,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":4,""sizes"":[]}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_translateX_effect"":""yes""}",,Speed
section,background_motion_fx_translateX_affectedRange,slider,style,section_background,,pro,free,"{""unit"":""%"",""size"":"""",""sizes"":{""start"":0,""end"":100}}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_translateX_effect"":""yes""}",,Viewport
section,background_motion_fx_opacity_effect,popover_toggle,style,section_background,,pro,free,,,"{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Transparency
section,background_motion_fx_opacity_direction,select,style,section_background,,pro,free,out-in,"[""out-in"",""in-out"",""in-out-in"",""out-in-out""]","{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_opacity_effect"":""yes""}",,Direction
section,background_motion_fx_opacity_level,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":10,""sizes"":[]}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_opacity_effect"":""yes""}",,Level
section,background_motion_fx_opacity_range,slider,style,section_background,,pro,free,"{""unit"":""%"",""size"":"""",""sizes"":{""start"":20,""end"":80}}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_opacity_effect"":""yes""}",,Viewport
section,background_motion_fx_blur_effect,popover_toggle,style,section_background,,pro,free,,,"{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Blur
section,background_motion_fx_blur_direction,select,style,section_background,,pro,free,out-in,"[""out-in"",""in-out"",""in-out-in"",""out-in-out""]","{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_blur_effect"":""yes""}",,Direction
section,background_motion_fx_blur_level,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":7,""sizes"":[]}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_blur_effect"":""yes""}",,Level
section,background_motion_fx_blur_range,slider,style,section_background,,pro,free,"{""unit"":""%"",""size"":"""",""sizes"":{""start"":20,""end"":80}}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_blur_effect"":""yes""}",,Viewport
section,background_motion_fx_rotateZ_direction,select,style,section_background,,pro,free,,"["""",""negative""]","{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_rotateZ_effect"":""yes""}",,Direction
section,background_motion_fx_rotateZ_speed,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":1,""sizes"":[]}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_rotateZ_effect"":""yes""}",,Speed
section,background_motion_fx_rotateZ_affectedRange,slider,style,section_background,,pro,free,"{""unit"":""%"",""size"":"""",""sizes"":{""start"":0,""end"":100}}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_rotateZ_effect"":""yes""}",,Viewport
section,background_motion_fx_scale_effect,popover_toggle,style,section_background,,pro,free,,,"{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Scale
section,background_motion_fx_scale_direction,select,style,section_background,,pro,free,out-in,"[""out-in"",""in-out"",""in-out-in"",""out-in-out""]","{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_scale_effect"":""yes""}",,Direction
section,background_motion_fx_scale_speed,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":4,""sizes"":[]}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_scale_effect"":""yes""}",,Speed
section,background_motion_fx_scale_range,slider,style,section_background,,pro,free,"{""unit"":""%"",""size"":"""",""sizes"":{""start"":20,""end"":80}}",,"{""background_motion_fx_motion_fx_scrolling"":""yes"",""background_motion_fx_scale_effect"":""yes""}",,Viewport
section,background_motion_fx_devices,select2,style,section_background,,pro,free,"[""desktop"",""tablet"",""mobile""]","[""desktop"",""tablet"",""mobile""]","{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Apply Effects On
section,background_motion_fx_range,select,style,section_background,,pro,free,,"["""",""viewport"",""page""]","{""background_motion_fx_motion_fx_scrolling"":""yes""}",,Effects Relative To
section,background_motion_fx_motion_fx_mouse,switcher,style,section_background,,pro,free,,,,,Mouse Effects
section,background_motion_fx_mouseTrack_effect,popover_toggle,style,section_background,,pro,free,,,"{""background_motion_fx_motion_fx_mouse"":""yes""}",,Mouse Track
section,background_motion_fx_mouseTrack_direction,select,style,section_background,,pro,free,,"["""",""negative""]","{""background_motion_fx_motion_fx_mouse"":""yes"",""background_motion_fx_mouseTrack_effect"":""yes""}",,Direction
section,background_motion_fx_mouseTrack_speed,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":1,""sizes"":[]}",,"{""background_motion_fx_motion_fx_mouse"":""yes"",""background_motion_fx_mouseTrack_effect"":""yes""}",,Speed
section,background_motion_fx_tilt_direction,select,style,section_background,,pro,free,,"["""",""negative""]","{""background_motion_fx_motion_fx_mouse"":""yes"",""background_motion_fx_tilt_effect"":""yes""}",,Direction
section,background_motion_fx_tilt_speed,slider,style,section_background,,pro,free,"{""unit"":""px"",""size"":4,""sizes"":[]}",,"{""background_motion_fx_motion_fx_mouse"":""yes"",""background_motion_fx_tilt_effect"":""yes""}",,Speed
section,background_handle_motion_fx_asset_loading,hidden,style,section_background,,pro,free,,,,,
section,background_overlay_background,choose,style,section_background_overlay,,free,free,,"[""classic"",""gradient""]",,,Background Type
section,background_overlay_color,color,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""classic"",""gradient"",""video""]}",background-color,Color
section,background_overlay_color_stop,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""%"",""size"":0,""sizes"":[]}",,"{""background_overlay_background"":[""gradient""]}",,Location
section,background_overlay_color_b,color,style,section_background_overlay,,free,free,#f2295b,,"{""background_overlay_background"":[""gradient""]}",,Second Color
section,background_overlay_color_b_stop,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_overlay_background"":[""gradient""]}",,Location
section,background_overlay_gradient_type,select,style,section_background_overlay,,free,free,linear,"[""linear"",""radial""]","{""background_overlay_background"":[""gradient""]}",,Type
section,background_overlay_gradient_angle,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""deg"",""size"":180,""sizes"":[]}",,"{""background_overlay_background"":[""gradient""],""background_overlay_gradient_type"":""linear""}",background-color|background-image,Angle
section,background_overlay_gradient_position,select,style,section_background_overlay,mobile|tablet,free,free,center center,"[""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_overlay_background"":[""gradient""],""background_overlay_gradient_type"":""radial""}",background-color|background-image,Position
section,background_overlay_image,media,style,section_background_overlay,mobile|tablet,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_overlay_background"":[""classic""]}",background-image,Image
section,background_overlay_position,select,style,section_background_overlay,mobile|tablet,free,free,,"["""",""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right"",""initial""]","{""background_overlay_background"":[""classic""],""background_overlay_image[url]!"":""""}",background-position,Position
section,background_overlay_xpos,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""background_overlay_background"":[""classic""],""background_overlay_position"":[""initial""],""background_overlay_image[url]!"":""""}",background-position,X Position
section,background_overlay_ypos,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""background_overlay_background"":[""classic""],""background_overlay_position"":[""initial""],""background_overlay_image[url]!"":""""}",background-position,Y Position
section,background_overlay_attachment,select,style,section_background_overlay,,free,free,,"["""",""scroll"",""fixed""]","{""background_overlay_background"":[""classic""],""background_overlay_image[url]!"":""""}",background-attachment,Attachment
section,background_overlay_repeat,select,style,section_background_overlay,mobile|tablet,free,free,,"["""",""no-repeat"",""repeat"",""repeat-x"",""repeat-y""]","{""background_overlay_background"":[""classic""],""background_overlay_image[url]!"":""""}",background-repeat,Repeat
section,background_overlay_size,select,style,section_background_overlay,mobile|tablet,free,free,,"["""",""auto"",""cover"",""contain"",""initial""]","{""background_overlay_background"":[""classic""],""background_overlay_image[url]!"":""""}",background-size,Display Size
section,background_overlay_bg_width,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_overlay_background"":[""classic""],""background_overlay_size"":[""initial""],""background_overlay_image[url]!"":""""}",background-size,Width
section,background_overlay_video_link,text,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""video""]}",,Video Link
section,background_overlay_video_start,number,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""video""]}",,Start Time
section,background_overlay_video_end,number,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""video""]}",,End Time
section,background_overlay_play_once,switcher,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""video""]}",,Play Once
section,background_overlay_play_on_mobile,switcher,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""video""]}",,Play On Mobile
section,background_overlay_privacy_mode,switcher,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""video""]}",,Privacy Mode
section,background_overlay_video_fallback,media,style,section_background_overlay,,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_overlay_background"":[""video""]}",background|background-size,Background Fallback
section,background_overlay_slideshow_gallery,gallery,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""slideshow""]}",,Images
section,background_overlay_slideshow_loop,switcher,style,section_background_overlay,,free,free,yes,,"{""background_overlay_background"":[""slideshow""]}",,Infinite Loop
section,background_overlay_slideshow_slide_duration,number,style,section_background_overlay,,free,free,5000,,"{""background_overlay_background"":[""slideshow""]}",,Duration (ms)
section,background_overlay_slideshow_slide_transition,select,style,section_background_overlay,,free,free,fade,"[""fade"",""slide_right"",""slide_left"",""slide_up"",""slide_down""]","{""background_overlay_background"":[""slideshow""]}",,Transition
section,background_overlay_slideshow_transition_duration,number,style,section_background_overlay,,free,free,500,,"{""background_overlay_background"":[""slideshow""]}",,Transition Duration (ms)
section,background_overlay_slideshow_background_size,select,style,section_background_overlay,mobile|tablet,free,free,,"["""",""auto"",""cover"",""contain""]","{""background_overlay_background"":[""slideshow""]}",background-size,Background Size
section,background_overlay_slideshow_background_position,select,style,section_background_overlay,mobile|tablet,free,free,,"["""",""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_overlay_background"":[""slideshow""]}",background-position,Background Position
section,background_overlay_slideshow_lazyload,switcher,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""slideshow""]}",,Lazyload
section,background_overlay_slideshow_ken_burns,switcher,style,section_background_overlay,,free,free,,,"{""background_overlay_background"":[""slideshow""]}",,Ken Burns Effect
section,background_overlay_slideshow_ken_burns_zoom_direction,select,style,section_background_overlay,,free,free,in,"[""in"",""out""]","{""background_overlay_background"":[""slideshow""],""background_overlay_slideshow_ken_burns!"":""""}",,Direction
section,background_overlay_opacity,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""px"",""size"":0.5,""sizes"":[]}",,"{""background_overlay_background"":[""classic"",""gradient""]}",opacity,Opacity
section,css_filters_css_filter,popover_toggle,style,section_background_overlay,,free,free,,,,,CSS Filters
section,css_filters_blur,slider,style,section_background_overlay,,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""css_filters_css_filter!"":""""}",filter,Blur
section,css_filters_brightness,slider,style,section_background_overlay,,free,free,"{""unit"":""px"",""size"":100,""sizes"":[]}",,"{""css_filters_css_filter!"":""""}",,Brightness
section,css_filters_contrast,slider,style,section_background_overlay,,free,free,"{""unit"":""px"",""size"":100,""sizes"":[]}",,"{""css_filters_css_filter!"":""""}",,Contrast
section,css_filters_saturate,slider,style,section_background_overlay,,free,free,"{""unit"":""px"",""size"":100,""sizes"":[]}",,"{""css_filters_css_filter!"":""""}",,Saturation
section,css_filters_hue,slider,style,section_background_overlay,,free,free,"{""unit"":""px"",""size"":0,""sizes"":[]}",,"{""css_filters_css_filter!"":""""}",,Hue
section,overlay_blend_mode,select,style,section_background_overlay,,free,free,,"["""",""multiply"",""screen"",""overlay"",""darken"",""lighten"",""color-dodge"",""saturation"",""color"",""luminosity"",""difference"",""exclusion"",""hue""]",,mix-blend-mode,Blend Mode
section,background_overlay_hover_background,choose,style,section_background_overlay,,free,free,,"[""classic"",""gradient""]",,,Background Type
section,background_overlay_hover_color,color,style,section_background_overlay,,free,free,,,"{""background_overlay_hover_background"":[""classic"",""gradient"",""video""]}",background-color,Color
section,background_overlay_hover_color_stop,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""%"",""size"":0,""sizes"":[]}",,"{""background_overlay_hover_background"":[""gradient""]}",,Location
section,background_overlay_hover_color_b,color,style,section_background_overlay,,free,free,#f2295b,,"{""background_overlay_hover_background"":[""gradient""]}",,Second Color
section,background_overlay_hover_color_b_stop,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""background_overlay_hover_background"":[""gradient""]}",,Location
section,background_overlay_hover_gradient_type,select,style,section_background_overlay,,free,free,linear,"[""linear"",""radial""]","{""background_overlay_hover_background"":[""gradient""]}",,Type
section,background_overlay_hover_gradient_angle,slider,style,section_background_overlay,mobile|tablet,free,free,"{""unit"":""deg"",""size"":180,""sizes"":[]}",,"{""background_overlay_hover_background"":[""gradient""],""background_overlay_hover_gradient_type"":""linear""}",background-color|background-image,Angle
section,background_overlay_hover_gradient_position,select,style,section_background_overlay,mobile|tablet,free,free,center center,"[""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""background_overlay_hover_background"":[""gradient""],""background_overlay_hover_gradient_type"":""radial""}",background-color|background-image,Position
section,background_overlay_hover_image,media,style,section_background_overlay,mobile|tablet,free,free,"{""url"":"""",""id"":"""",""size"":""""}",,"{""background_overlay_hover_background"":[""classic""]}",background-image,Image
