element,owner,control,property,declared,computed,status
0dcf3a6,section,background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
0dcf3a6,section,background_hover_attachment,background-attachment,scroll,scroll,verified
0dcf3a6,section,background_hover_size,background-size,425px,425px,verified
0dcf3a6,section,background_hover_bg_width,background-size,425px,425px,verified
0dcf3a6,section,background_hover_color,background-color,"rgb(204, 229, 70)","rgb(204, 229, 70)",verified
0dcf3a6,section,background_hover_position,background-position,center center,50% 50%,not-comparable
0dcf3a6,section,background_hover_repeat,background-repeat,no-repeat,no-repeat,verified
0dcf3a6,section,background_overlay_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
0dcf3a6,section,background_overlay_hover_attachment,background-attachment,scroll,scroll,verified
0dcf3a6,section,background_overlay_hover_size,background-size,964px,964px,verified
0dcf3a6,section,background_overlay_hover_bg_width,background-size,964px,964px,verified
0dcf3a6,section,background_overlay_hover_color,background-color,"rgb(87, 51, 125)","rgb(87, 51, 125)",verified
0dcf3a6,section,background_overlay_hover_opacity,opacity,984,1,not-comparable
0dcf3a6,section,background_overlay_hover_position,background-position,center center,50% 50%,not-comparable
0dcf3a6,section,background_overlay_hover_repeat,background-repeat,no-repeat,no-repeat,verified
0dcf3a6,section,border_hover_border,border-style,none,none,verified
0dcf3a6,section,box_shadow_hover_box_shadow,box-shadow,"rgb(172, 122, 181) 3px 5px 7px 2px","rgb(172, 122, 181) 3px 5px 7px 2px",not-comparable
0dcf3a6,section,color_link_hover,color,"rgb(224, 139, 183)",,no-target-node
0dcf3a6,section,css_filters_hover_blur,filter,brightness(366%) contrast(745%) saturate(266%) blur(224px) hue-rotate(185deg),brightness(3.66) contrast(7.45) saturate(2.66) blur(224px) hue-rotate(185deg),not-comparable
ca43871,section,background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
ca43871,section,background_hover_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
ca43871,section,background_hover_gradient_angle,background-image,"linear-gradient(475deg, rgb(204, 229, 70) 591%, rgb(106, 105, 232) 60%)","linear-gradient(980deg, rgb(133, 207, 170) 55%, rgb(77, 97, 221) 839%)",not-comparable
ca43871,section,background_overlay_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
ca43871,section,background_overlay_hover_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
ca43871,section,background_overlay_hover_gradient_angle,background-image,"linear-gradient(581deg, rgb(87, 51, 125) 971%, rgb(151, 117, 133) 143%)","linear-gradient(227deg, rgb(229, 100, 181) 219%, rgb(230, 104, 197) 109%)",not-comparable
ca43871,section,border_hover_border,border-style,solid,solid,verified
ca43871,section,border_hover_color,border-color,"rgb(62, 234, 221)","rgb(88, 69, 226)",OVERRIDDEN
ca43871,section,border_hover_width,border-width,47px 48px 49px 50px,89px 90px 91px 92px,not-comparable
82a2a97,section,background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
82a2a97,section,background_hover_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
82a2a97,section,background_hover_gradient_position,background-image,"radial-gradient(rgb(204, 229, 70) 591%, rgb(106, 105, 232) 60%)","radial-gradient(rgb(133, 207, 170) 55%, rgb(77, 97, 221) 839%)",not-comparable
82a2a97,section,background_overlay_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
82a2a97,section,background_overlay_hover_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
82a2a97,section,background_overlay_hover_gradient_position,background-image,"radial-gradient(rgb(87, 51, 125) 971%, rgb(151, 117, 133) 143%)","radial-gradient(rgb(229, 100, 181) 219%, rgb(230, 104, 197) 109%)",not-comparable
ac94695,section,background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
ac94695,section,background_hover_size,background-size,auto,auto,verified
ac94695,section,background_hover_position,background-position,898px 95px,508px 716px,not-comparable
ac94695,section,background_hover_ypos,background-position,898px 95px,508px 716px,not-comparable
ac94695,section,background_hover_xpos,background-position,898px 95px,508px 716px,not-comparable
ac94695,section,background_overlay_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
ac94695,section,background_overlay_hover_size,background-size,auto,auto,verified
ac94695,section,background_overlay_hover_position,background-position,40px 41px,907px 473px,not-comparable
ac94695,section,background_overlay_hover_ypos,background-position,40px 41px,907px 473px,not-comparable
ac94695,section,background_overlay_hover_xpos,background-position,40px 41px,907px 473px,not-comparable
ca2d22b,section,background_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover","rgba(0, 0, 0, 0) url(""https://example.com/eh-sweep-probe.png"") repeat scroll 50% 50% / cover padding-box border-box",not-comparable
ca2d22b,section,background_overlay_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover",,no-target-node
63f7b6b,column,background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
63f7b6b,column,background_hover_attachment,background-attachment,scroll,,no-target-node
63f7b6b,column,background_hover_size,background-size,900px,,no-target-node
63f7b6b,column,background_hover_bg_width,background-size,900px,,no-target-node
63f7b6b,column,background_hover_color,background-color,"rgb(94, 229, 175)",,no-target-node
63f7b6b,column,background_hover_position,background-position,center center,,no-target-node
63f7b6b,column,background_hover_repeat,background-repeat,no-repeat,,no-target-node
63f7b6b,column,background_overlay_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
63f7b6b,column,background_overlay_hover_attachment,background-attachment,scroll,,no-target-node
63f7b6b,column,background_overlay_hover_size,background-size,92px,,no-target-node
63f7b6b,column,background_overlay_hover_bg_width,background-size,92px,,no-target-node
63f7b6b,column,background_overlay_hover_color,background-color,"rgb(97, 208, 166)",,no-target-node
63f7b6b,column,background_overlay_hover_opacity,opacity,350,,no-target-node
63f7b6b,column,background_overlay_hover_position,background-position,center center,,no-target-node
63f7b6b,column,background_overlay_hover_repeat,background-repeat,no-repeat,,no-target-node
63f7b6b,column,border_hover_border,border-style,none,,no-target-node
63f7b6b,column,box_shadow_hover_box_shadow,box-shadow,"rgb(95, 131, 174) 3px 5px 7px 2px",,no-target-node
63f7b6b,column,color_link_hover,color,"rgb(213, 91, 239)",,no-target-node
63f7b6b,column,css_filters_hover_blur,filter,brightness(980%) contrast(452%) saturate(602%) blur(525px) hue-rotate(900deg),,no-target-node
dede853,column,background_hover_color,background-color,transparent,,no-target-node
dede853,column,background_hover_gradient_angle,background-color,transparent,,no-target-node
dede853,column,background_hover_gradient_angle,background-image,"linear-gradient(193deg, rgb(94, 229, 175) 328%, rgb(148, 104, 182) 281%)",,no-target-node
dede853,column,border_hover_border,border-style,solid,,no-target-node
dede853,column,border_hover_color,border-color,"rgb(211, 195, 175)",,no-target-node
dede853,column,border_hover_width,border-width,60px 61px 62px 63px,,no-target-node
a0b0099,column,background_hover_color,background-color,transparent,,no-target-node
a0b0099,column,background_hover_gradient_position,background-color,transparent,,no-target-node
a0b0099,column,background_hover_gradient_position,background-image,"radial-gradient(rgb(94, 229, 175) 328%, rgb(148, 104, 182) 281%)",,no-target-node
f30b221,column,background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
f30b221,column,background_hover_size,background-size,auto,,no-target-node
f30b221,column,background_hover_position,background-position,891px 428px,,no-target-node
f30b221,column,background_hover_ypos,background-position,891px 428px,,no-target-node
f30b221,column,background_hover_xpos,background-position,891px 428px,,no-target-node
f30b221,column,background_overlay_hover_color,background-color,transparent,,no-target-node
f30b221,column,background_overlay_hover_gradient_angle,background-color,transparent,,no-target-node
f30b221,column,background_overlay_hover_gradient_angle,background-image,"linear-gradient(72deg, rgb(97, 208, 166) 52%, rgb(150, 53, 110) 637%)",,no-target-node
077c091,column,background_overlay_hover_color,background-color,transparent,,no-target-node
077c091,column,background_overlay_hover_gradient_position,background-color,transparent,,no-target-node
077c091,column,background_overlay_hover_gradient_position,background-image,"radial-gradient(rgb(97, 208, 166) 52%, rgb(150, 53, 110) 637%)",,no-target-node
e9b00cd,column,background_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover",,no-target-node
e9b00cd,column,background_overlay_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
e9b00cd,column,background_overlay_hover_size,background-size,auto,,no-target-node
e9b00cd,column,background_overlay_hover_position,background-position,702px 256px,,no-target-node
e9b00cd,column,background_overlay_hover_ypos,background-position,702px 256px,,no-target-node
e9b00cd,column,background_overlay_hover_xpos,background-position,702px 256px,,no-target-node
0c29f98,column,background_overlay_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover",,no-target-node
1b7cc8a,container,_transform_flipX_effect_hover,--e-con-transform-flipX,-1,-1,not-comparable
1b7cc8a,container,_transform_flipY_effect_hover,--e-con-transform-flipY,-1,-1,not-comparable
1b7cc8a,container,_transform_rotate_3d_hover,--e-con-transform-rotateX,51deg,51deg,not-comparable
1b7cc8a,container,_transform_rotate_3d_hover,--e-con-transform-perspective,34px,34px,verified
1b7cc8a,container,_transform_perspective_effect_hover,--e-con-transform-perspective,34px,34px,verified
1b7cc8a,container,_transform_rotateX_effect_hover,--e-con-transform-rotateX,51deg,51deg,not-comparable
1b7cc8a,container,_transform_rotateY_effect_hover,--e-con-transform-rotateY,253deg,253deg,not-comparable
1b7cc8a,container,_transform_rotateZ_effect_hover,--e-con-transform-rotateZ,973deg,973deg,not-comparable
1b7cc8a,container,_transform_scaleX_effect_hover,--e-con-transform-scaleX,182,182,not-comparable
1b7cc8a,container,_transform_scaleY_effect_hover,--e-con-transform-scaleY,517,517,not-comparable
1b7cc8a,container,_transform_skewX_effect_hover,--e-con-transform-skewX,607deg,607deg,not-comparable
1b7cc8a,container,_transform_skewY_effect_hover,--e-con-transform-skewY,835deg,835deg,not-comparable
1b7cc8a,container,_transform_translateX_effect_hover,--e-con-transform-translateX,526px,526px,verified
1b7cc8a,container,_transform_translateY_effect_hover,--e-con-transform-translateY,884px,884px,verified
1b7cc8a,container,background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
1b7cc8a,container,background_hover_attachment,background-attachment,scroll,scroll,verified
1b7cc8a,container,background_hover_size,background-size,439px,439px,verified
1b7cc8a,container,background_hover_bg_width,background-size,439px,439px,verified
1b7cc8a,container,background_hover_color,background-color,"rgb(109, 111, 71)","rgb(109, 111, 71)",verified
1b7cc8a,container,background_hover_position,background-position,center center,50% 50%,not-comparable
1b7cc8a,container,background_hover_repeat,background-repeat,no-repeat,no-repeat,verified
1b7cc8a,container,background_overlay_hover_opacity,--overlay-opacity,16,16,not-comparable
1b7cc8a,container,border_hover_border,border-style,none,none,verified
1b7cc8a,container,border_radius_hover,--border-radius,31px 32px 33px 34px,31px 32px 33px 34px,not-comparable
1b7cc8a,container,border_radius_hover,--border-top-left-radius,31px,31px,verified
1b7cc8a,container,border_radius_hover,--border-top-right-radius,32px,32px,verified
1b7cc8a,container,border_radius_hover,--border-bottom-right-radius,33px,33px,verified
1b7cc8a,container,border_radius_hover,--border-bottom-left-radius,34px,34px,verified
1b7cc8a,container,box_shadow_hover_box_shadow,box-shadow,"rgb(224, 102, 103) 3px 5px 7px 2px","rgb(224, 102, 103) 3px 5px 7px 2px",not-comparable
1b7cc8a,container,css_filters_hover_blur,filter,brightness(318%) contrast(316%) saturate(311%) blur(985px) hue-rotate(559deg),,no-target-node
835921a,container,_transform_scale_effect_hover,--e-con-transform-scale,464,464,not-comparable
835921a,container,background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
835921a,container,background_hover_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
835921a,container,background_hover_gradient_angle,background-image,"linear-gradient(900deg, rgb(109, 111, 71) 137%, rgb(119, 208, 171) 967%)","linear-gradient(900deg, rgb(109, 111, 71) 137%, rgb(119, 208, 171) 967%)",not-comparable
835921a,container,border_hover_border,border-style,solid,solid,verified
835921a,container,border_hover_color,border-color,"rgb(59, 64, 69)","rgb(59, 64, 69)",verified
835921a,container,border_hover_color,--border-color,#3B4045,#3B4045,verified
835921a,container,border_hover_width,border-width,68px 69px 70px 71px,68px 69px 70px 71px,not-comparable
835921a,container,border_hover_width,--border-top-width,68px,68px,verified
835921a,container,border_hover_width,--border-right-width,69px,69px,verified
835921a,container,border_hover_width,--border-bottom-width,70px,70px,verified
835921a,container,border_hover_width,--border-left-width,71px,71px,verified
00f2bdd,container,background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
00f2bdd,container,background_hover_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
00f2bdd,container,background_hover_gradient_position,background-image,"radial-gradient(rgb(109, 111, 71) 137%, rgb(119, 208, 171) 967%)","radial-gradient(rgb(102, 57, 188) 703%, rgb(124, 180, 213) 480%)",not-comparable
976c739,container,background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
976c739,container,background_hover_size,background-size,auto,auto,verified
976c739,container,background_hover_position,background-position,458px 592px,153px 178px,not-comparable
976c739,container,background_hover_ypos,background-position,458px 592px,153px 178px,not-comparable
976c739,container,background_hover_xpos,background-position,458px 592px,153px 178px,not-comparable
58020b0,container,background_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover","rgba(0, 0, 0, 0) url(""https://example.com/eh-sweep-probe.png"") repeat scroll 50% 50% / cover padding-box border-box",not-comparable
7d65cc3,nested-tabs,_background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
7d65cc3,nested-tabs,_background_hover_attachment,background-attachment,scroll,,no-target-node
7d65cc3,nested-tabs,_background_hover_size,background-size,443px,,no-target-node
7d65cc3,nested-tabs,_background_hover_bg_width,background-size,443px,,no-target-node
7d65cc3,nested-tabs,_background_hover_color,background-color,"rgb(152, 68, 117)",,no-target-node
7d65cc3,nested-tabs,_background_hover_position,background-position,center center,,no-target-node
7d65cc3,nested-tabs,_background_hover_repeat,background-repeat,no-repeat,,no-target-node
7d65cc3,nested-tabs,_border_hover_border,border-style,none,,no-target-node
7d65cc3,nested-tabs,_border_radius_hover,border-radius,13px 14px 15px 16px,,no-target-node
7d65cc3,nested-tabs,_box_shadow_hover_box_shadow,box-shadow,"rgb(61, 155, 229) 3px 5px 7px 2px",,no-target-node
7d65cc3,nested-tabs,_transform_flipX_effect_hover,--e-transform-flipX,-1,,no-target-node
7d65cc3,nested-tabs,_transform_flipY_effect_hover,--e-transform-flipY,-1,,no-target-node
7d65cc3,nested-tabs,_transform_rotate_3d_hover,--e-transform-rotateX,159deg,,no-target-node
7d65cc3,nested-tabs,_transform_rotate_3d_hover,--e-transform-perspective,982px,,no-target-node
7d65cc3,nested-tabs,_transform_perspective_effect_hover,--e-transform-perspective,982px,,no-target-node
7d65cc3,nested-tabs,_transform_rotateX_effect_hover,--e-transform-rotateX,159deg,,no-target-node
7d65cc3,nested-tabs,_transform_rotateY_effect_hover,--e-transform-rotateY,338deg,,no-target-node
7d65cc3,nested-tabs,_transform_rotateZ_effect_hover,--e-transform-rotateZ,239deg,,no-target-node
7d65cc3,nested-tabs,_transform_scaleX_effect_hover,--e-transform-scaleX,520,,no-target-node
7d65cc3,nested-tabs,_transform_scaleY_effect_hover,--e-transform-scaleY,845,,no-target-node
7d65cc3,nested-tabs,_transform_skewX_effect_hover,--e-transform-skewX,78deg,,no-target-node
7d65cc3,nested-tabs,_transform_skewY_effect_hover,--e-transform-skewY,28deg,,no-target-node
7d65cc3,nested-tabs,_transform_translateX_effect_hover,--e-transform-translateX,714px,,no-target-node
7d65cc3,nested-tabs,_transform_translateY_effect_hover,--e-transform-translateY,430px,,no-target-node
7d65cc3,nested-tabs,icon_color_hover,--n-tabs-icon-color-hover,#6B6D4D,,no-target-node
7d65cc3,nested-tabs,title_text_color_hover,--n-tabs-title-color-hover,#447B64,,no-target-node
85cc7dc,nested-tabs,_background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
85cc7dc,nested-tabs,_background_hover_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
85cc7dc,nested-tabs,_background_hover_gradient_angle,background-image,"linear-gradient(577deg, rgb(152, 68, 117) 808%, rgb(154, 124, 205) 104%)","linear-gradient(577deg, rgb(152, 68, 117) 808%, rgb(154, 124, 205) 104%)",not-comparable
85cc7dc,nested-tabs,_border_hover_border,border-style,solid,solid,verified
85cc7dc,nested-tabs,_border_hover_color,border-color,"rgb(92, 219, 215)","rgb(92, 219, 215)",verified
85cc7dc,nested-tabs,_border_hover_width,border-width,46px 47px 48px 49px,46px 47px 48px 49px,not-comparable
85cc7dc,nested-tabs,_transform_scale_effect_hover,--e-transform-scale,74,74,not-comparable
89372fa,nested-tabs,_background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
89372fa,nested-tabs,_background_hover_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
89372fa,nested-tabs,_background_hover_gradient_position,background-image,"radial-gradient(rgb(152, 68, 117) 808%, rgb(154, 124, 205) 104%)","radial-gradient(rgb(152, 68, 117) 808%, rgb(154, 124, 205) 104%)",not-comparable
aa6e2a8,nested-tabs,_background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
aa6e2a8,nested-tabs,_background_hover_size,background-size,auto,auto,verified
aa6e2a8,nested-tabs,_background_hover_position,background-position,947px 162px,947px 162px,not-comparable
aa6e2a8,nested-tabs,_background_hover_ypos,background-position,947px 162px,947px 162px,not-comparable
aa6e2a8,nested-tabs,_background_hover_xpos,background-position,947px 162px,947px 162px,not-comparable
eb3142e,nested-tabs,_background_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover","rgba(0, 0, 0, 0) url(""https://example.com/eh-sweep-probe.png"") repeat scroll 50% 50% / cover padding-box border-box",not-comparable
609eb4b,nested-accordion,_background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
609eb4b,nested-accordion,_background_hover_attachment,background-attachment,scroll,,no-target-node
609eb4b,nested-accordion,_background_hover_size,background-size,505px,,no-target-node
609eb4b,nested-accordion,_background_hover_bg_width,background-size,505px,,no-target-node
609eb4b,nested-accordion,_background_hover_color,background-color,"rgb(88, 76, 228)",,no-target-node
609eb4b,nested-accordion,_background_hover_position,background-position,center center,,no-target-node
609eb4b,nested-accordion,_background_hover_repeat,background-repeat,no-repeat,,no-target-node
609eb4b,nested-accordion,_border_hover_border,border-style,none,,no-target-node
609eb4b,nested-accordion,_border_radius_hover,border-radius,20px 21px 22px 23px,,no-target-node
609eb4b,nested-accordion,_box_shadow_hover_box_shadow,box-shadow,"rgb(200, 63, 167) 3px 5px 7px 2px",,no-target-node
609eb4b,nested-accordion,_transform_flipX_effect_hover,--e-transform-flipX,-1,,no-target-node
609eb4b,nested-accordion,_transform_flipY_effect_hover,--e-transform-flipY,-1,,no-target-node
609eb4b,nested-accordion,_transform_rotate_3d_hover,--e-transform-rotateX,675deg,,no-target-node
609eb4b,nested-accordion,_transform_rotate_3d_hover,--e-transform-perspective,942px,,no-target-node
609eb4b,nested-accordion,_transform_perspective_effect_hover,--e-transform-perspective,942px,,no-target-node
609eb4b,nested-accordion,_transform_rotateX_effect_hover,--e-transform-rotateX,675deg,,no-target-node
609eb4b,nested-accordion,_transform_rotateY_effect_hover,--e-transform-rotateY,856deg,,no-target-node
609eb4b,nested-accordion,_transform_rotateZ_effect_hover,--e-transform-rotateZ,103deg,,no-target-node
609eb4b,nested-accordion,_transform_scaleX_effect_hover,--e-transform-scaleX,119,,no-target-node
609eb4b,nested-accordion,_transform_scaleY_effect_hover,--e-transform-scaleY,989,,no-target-node
609eb4b,nested-accordion,_transform_skewX_effect_hover,--e-transform-skewX,908deg,,no-target-node
609eb4b,nested-accordion,_transform_skewY_effect_hover,--e-transform-skewY,955deg,,no-target-node
609eb4b,nested-accordion,_transform_translateX_effect_hover,--e-transform-translateX,921px,,no-target-node
609eb4b,nested-accordion,_transform_translateY_effect_hover,--e-transform-translateY,658px,,no-target-node
609eb4b,nested-accordion,accordion_background_hover_attachment,background-attachment,scroll,,no-target-node
609eb4b,nested-accordion,accordion_background_hover_size,background-size,389px,,no-target-node
609eb4b,nested-accordion,accordion_background_hover_bg_width,background-size,389px,,no-target-node
609eb4b,nested-accordion,accordion_background_hover_color,background-color,"rgb(54, 83, 210)",,no-target-node
609eb4b,nested-accordion,accordion_background_hover_position,background-position,center center,,no-target-node
609eb4b,nested-accordion,accordion_background_hover_repeat,background-repeat,no-repeat,,no-target-node
609eb4b,nested-accordion,accordion_border_hover_border,border-style,none,,no-target-node
86c9397,nested-accordion,_background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
86c9397,nested-accordion,_background_hover_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
86c9397,nested-accordion,_background_hover_gradient_angle,background-image,"linear-gradient(291deg, rgb(88, 76, 228) 101%, rgb(120, 194, 105) 251%)","linear-gradient(291deg, rgb(88, 76, 228) 101%, rgb(120, 194, 105) 251%)",not-comparable
86c9397,nested-accordion,_border_hover_border,border-style,solid,solid,verified
86c9397,nested-accordion,_border_hover_color,border-color,"rgb(234, 141, 154)","rgb(234, 141, 154)",verified
86c9397,nested-accordion,_border_hover_width,border-width,54px 55px 56px 57px,54px 55px 56px 57px,not-comparable
86c9397,nested-accordion,_transform_scale_effect_hover,--e-transform-scale,300,300,not-comparable
86c9397,nested-accordion,accordion_background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
86c9397,nested-accordion,accordion_background_hover_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
86c9397,nested-accordion,accordion_background_hover_gradient_angle,background-image,"linear-gradient(503deg, rgb(54, 83, 210) 139%, rgb(62, 56, 67) 528%)","linear-gradient(341deg, rgb(84, 176, 50) 406%, rgb(98, 91, 54) 111%)",not-comparable
86c9397,nested-accordion,accordion_border_hover_border,border-style,solid,solid,verified
86c9397,nested-accordion,accordion_border_hover_color,border-color,"rgb(166, 145, 215)","rgb(66, 68, 65)",OVERRIDDEN
86c9397,nested-accordion,accordion_border_hover_width,border-width,40px 41px 42px 43px,79px 80px 81px 82px,not-comparable
2cd0700,nested-accordion,_background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
2cd0700,nested-accordion,_background_hover_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
2cd0700,nested-accordion,_background_hover_gradient_position,background-image,"radial-gradient(rgb(88, 76, 228) 101%, rgb(120, 194, 105) 251%)","radial-gradient(rgb(88, 76, 228) 101%, rgb(120, 194, 105) 251%)",not-comparable
2cd0700,nested-accordion,accordion_background_hover_color,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
2cd0700,nested-accordion,accordion_background_hover_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",not-comparable
2cd0700,nested-accordion,accordion_background_hover_gradient_position,background-image,"radial-gradient(rgb(54, 83, 210) 139%, rgb(62, 56, 67) 528%)","radial-gradient(rgb(84, 176, 50) 406%, rgb(98, 91, 54) 111%)",not-comparable
6a49d17,nested-accordion,_background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",not-comparable
6a49d17,nested-accordion,_background_hover_size,background-size,auto,auto,verified
6a49d17,nested-accordion,_background_hover_position,background-position,238px 520px,238px 520px,not-comparable
6a49d17,nested-accordion,_background_hover_ypos,background-position,238px 520px,238px 520px,not-comparable
6a49d17,nested-accordion,_background_hover_xpos,background-position,238px 520px,238px 520px,not-comparable
6a49d17,nested-accordion,accordion_background_hover_size,background-size,auto,auto,verified
6a49d17,nested-accordion,accordion_background_hover_position,background-position,206px 128px,179px 271px,not-comparable
6a49d17,nested-accordion,accordion_background_hover_ypos,background-position,206px 128px,179px 271px,not-comparable
6a49d17,nested-accordion,accordion_background_hover_xpos,background-position,206px 128px,179px 271px,not-comparable
667fade,nested-accordion,_background_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover","rgba(0, 0, 0, 0) url(""https://example.com/eh-sweep-probe.png"") repeat scroll 50% 50% / cover padding-box border-box",not-comparable
667fade,nested-accordion,accordion_background_hover_video_fallback,background,"url(""https://example.com/eh-sweep-probe.png"") 50% 50% / cover","rgba(0, 0, 0, 0) url(""https://example.com/eh-sweep-probe.png"") repeat scroll 50% 50% / cover padding-box border-box",not-comparable
b4b00cb,common,_background_hover_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")",,no-target-node
b4b00cb,common,_background_hover_attachment,background-attachment,scroll,,no-target-node
b4b00cb,common,_background_hover_size,background-size,258px,,no-target-node
b4b00cb,common,_background_hover_bg_width,background-size,258px,,no-target-node
b4b00cb,common,_background_hover_color,background-color,"rgb(148, 98, 59)",,no-target-node
b4b00cb,common,_background_hover_position,background-position,center center,,no-target-node
b4b00cb,common,_background_hover_repeat,background-repeat,no-repeat,,no-target-node
b4b00cb,common,_border_hover_border,border-style,none,,no-target-node
b4b00cb,common,_border_radius_hover,border-radius,83px 84px 85px 86px,,no-target-node
b4b00cb,common,_box_shadow_hover_box_shadow,box-shadow,"rgb(148, 65, 140) 3px 5px 7px 2px",,no-target-node
b4b00cb,common,_transform_flipX_effect_hover,--e-transform-flipX,-1,,no-target-node
b4b00cb,common,_transform_flipY_effect_hover,--e-transform-flipY,-1,,no-target-node
b4b00cb,common,_transform_rotate_3d_hover,--e-transform-rotateX,448deg,,no-target-node
b4b00cb,common,_transform_rotate_3d_hover,--e-transform-perspective,663px,,no-target-node
b4b00cb,common,_transform_perspective_effect_hover,--e-transform-perspective,663px,,no-target-node
b4b00cb,common,_transform_rotateX_effect_hover,--e-transform-rotateX,448deg,,no-target-node
b4b00cb,common,_transform_rotateY_effect_hover,--e-transform-rotateY,422deg,,no-target-node
b4b00cb,common,_transform_rotateZ_effect_hover,--e-transform-rotateZ,90deg,,no-target-node
b4b00cb,common,_transform_scaleX_effect_hover,--e-transform-scaleX,99,,no-target-node
b4b00cb,common,_transform_scaleY_effect_hover,--e-transform-scaleY,591,,no-target-node
b4b00cb,common,_transform_skewX_effect_hover,--e-transform-skewX,719deg,,no-target-node
b4b00cb,common,_transform_skewY_effect_hover,--e-transform-skewY,873deg,,no-target-node
b4b00cb,common,_transform_translateX_effect_hover,--e-transform-translateX,269px,,no-target-node
b4b00cb,common,_transform_translateY_effect_hover,--e-transform-translateY,506px,,no-target-node
6f17831,common,_background_hover_color,background-color,transparent,,no-target-node
6f17831,common,_background_hover_gradient_angle,background-color,transparent,,no-target-node
6f17831,common,_background_hover_gradient_angle,background-image,"linear-gradient(260deg, rgb(148, 98, 59) 183%, rgb(215, 181, 100) 971%)",,no-target-node
6f17831,common,_border_hover_border,border-style,solid,,no-target-node
6f17831,common,_border_hover_color,border-color,"rgb(80, 149, 71)",,no-target-node
6f17831,common,_border_hover_width,border-width,38px 39px 40px 41px,,no-target-node
6f17831,common,_transform_scale_effect_hover,--e-transform-scale,747,,no-target-node
8a49ce2,common,_background_hover_color,background-color,transparent,,no-target-node
8a49ce2,common,_background_hover_gradient_position,background-color,transparent,,no-target-node
